id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5jGUJXnELDaDTgiRjD9lsg,200 Mph,70,170509,1,"['Bad Bunny', 'Diplo', 'Nitti Gritti']","['4q3ewBCX7sLwd24euuV69X', '5fMUXHkw8R8eOP2RNVYEZX', '21AUdblPrTRzkvJn8FGrlk']",2018-12-23,0.85,0.5,8,-6.708,1,0.0665,0.0139,0.000384,0.0947,0.816,160.02,4
6pZHZndlo57dPCYnvlYFOE,RLNDT,68,284853,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.6,0.528,0,-6.554,1,0.0308,0.263,0.0,0.588,0.142,108.025,4
45jM2fuCq0NHD9p7xn0ptd,¿Cual Es Tu Plan?,69,243700,1,"['Bad Bunny', 'Ñejo', 'Pj Sin Suela', 'DJ Nelson']","['4q3ewBCX7sLwd24euuV69X', '2OHKEe204spO7G7NcbeO2o', '0AdjzZxHJ4MfbImx2rD0Df', '2ydZrTy8U3kOMOzx20s3dg']",2018-08-17,0.822,0.601,5,-5.418,0,0.297,0.415,0.0,0.0797,0.872,96.123,4
4l3xGFwoTinvYxsePytOOf,Báilame - Remix,70,217093,0,"['Nacho', 'Yandel', 'Bad Bunny', 'Mambo Kingz', 'DJ Luian']","['2ayNSoKPCRAfjp6hQ76hRu', '0eHQ9o50hj6ZDNBt6Ys1sD', '4q3ewBCX7sLwd24euuV69X', '2T1aUibqR2QC2sINIDQOAK', '64aJYyrXljOodnUG6jvhRD']",2018-05-11,0.646,0.865,6,-4.215,1,0.0983,0.269,4.16e-06,0.11,0.762,191.954,4
3kG1jgWIDmjJkXhOiOmioO,Dime Si Te Acuerdas,68,187273,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-02-22,0.74,0.595,1,-9.082,1,0.0623,0.486,0.0,0.163,0.316,131.96,4
2wRkBumdItthjYP9XknImg,Está Rico,68,215151,0,"['Marc Anthony', 'Will Smith', 'Bad Bunny']","['4wLXwxDeWQ8mtUIRPxGiD6', '41qil2VaGbD194gaEcmmyx', '4q3ewBCX7sLwd24euuV69X']",2018-09-28,0.817,0.74,11,-4.566,0,0.283,0.266,0.0,0.0992,0.674,130.04,4
6kN06eEOblRAuWI0xUUS91,¿Quien Tu Eres?,67,159229,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.727,0.58,2,-6.804,0,0.136,0.185,3.58e-06,0.125,0.325,137.048,4
4UEuIEv9Wc3wtiWUplGJ7q,Ser Bichote,66,193211,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.785,0.626,4,-8.03,0,0.0675,0.158,4.6e-06,0.181,0.183,154.946,4
5mj8WVFcKdGA8p9HWGTSLc,Cuando Perriabas,68,188654,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.787,0.705,0,-7.582,1,0.0695,0.137,1.06e-06,0.108,0.499,81.998,4
5VQpJ2AY2iMzrRZKgcvNjh,Tenemos Que Hablar,67,224512,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.855,0.512,11,-8.165,1,0.0534,0.146,0.000854,0.107,0.144,146.075,4
4ByaTrfoYbXrmlbsTG8MTD,Dame Algo,68,237907,1,"['Wisin & Yandel', 'Bad Bunny']","['1wZtkThiXbVNtj6hee6dz9', '4q3ewBCX7sLwd24euuV69X']",2018-12-14,0.829,0.723,8,-3.743,0,0.105,0.176,0.0,0.0877,0.721,92.956,4
4DS7HoqrKq1dDjeYOKBlu9,De las 2 (feat. Bad Bunny & Arcángel),64,260493,1,"['Trap Capos', 'Noriel', 'Bad Bunny', 'Arcángel']","['2pQAUIesBqfT87PaM1ijtk', '3RtNN1VnooWEn3KQk03DUL', '4q3ewBCX7sLwd24euuV69X', '4gUE1bhccIGVxxwXIyuWYD']",2018-04-13,0.744,0.696,8,-5.015,0,0.117,0.71,0.0,0.0808,0.406,120.146,4
2iCOdoyDmWG3hWkbtH1KB2,Amantes de una Noche,65,225520,0,"['Natti Natasha', 'Bad Bunny']","['1GDbiv3spRmZ1XdM1jQbT7', '4q3ewBCX7sLwd24euuV69X']",2018-01-12,0.567,0.73,9,-6.748,0,0.213,0.353,1.73e-06,0.154,0.525,87.237,4
3gE4eQH3K83Sght0ZLvuBK,MIA,64,210368,0,"['Bad Bunny', 'Drake']","['4q3ewBCX7sLwd24euuV69X', '3TVXtAsR1Inumwj472S9r4']",2018-12-23,0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000496,0.099,0.156,97.054,4
